Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Müller,11212,1,Müller,11212,1,Müller,11212,ZH
2,Meier,9069,2,Meier,9069,2,Meier,9069,ZH
3,Keller,6442,3,Keller,6442,3,Keller,6442,ZH
4,Schmid,6434,4,Schmid,6434,4,Schmid,6434,ZH
5,Weber,4995,5,Weber,4995,5,Weber,4995,ZH
6,Huber,4844,6,Huber,4844,6,Huber,4844,ZH
7,Frei,3911,7,Frei,3911,7,Frei,3911,ZH
8,Schneider,3800,8,Schneider,3800,8,Schneider,3800,ZH
9,Fischer,3481,9,Fischer,3481,9,Fischer,3481,ZH
10,Brunner,3241,10,Brunner,3241,10,Brunner,3241,ZH
11,Baumann,3130,11,Baumann,3130,11,Baumann,3130,ZH
12,Graf,3113,12,Graf,3113,12,Graf,3113,ZH
13,Meyer,3033,13,Meyer,3033,13,Meyer,3033,ZH
14,Steiner,2841,14,Steiner,2841,14,Steiner,2841,ZH
15,Bachmann,2835,15,Bachmann,2835,15,Bachmann,2835,ZH
16,Widmer,2575,16,Widmer,2575,16,Widmer,2575,ZH
17,Zimmermann,2511,17,Zimmermann,2511,17,Zimmermann,2511,ZH
18,Kunz,2330,18,Kunz,2330,18,Kunz,2330,ZH
19,Rüegg,2326,19,Rüegg,2326,19,Rüegg,2326,ZH
20,Suter,2243,20,Suter,2243,20,Suter,2243,ZH
21,Egli,2221,21,Egli,2221,21,Egli,2221,ZH
22,Moser,2213,22,Moser,2213,22,Moser,2213,ZH
23,Bosshard,2021,23,Bosshard,2021,23,Bosshard,2021,ZH
24,Pfister,2014,24,Pfister,2014,24,Pfister,2014,ZH
25,Roth,2009,25,Roth,2009,25,Roth,2009,ZH
26,Baumgartner,1966,26,Baumgartner,1966,26,Baumgartner,1966,ZH
26,Peter,1966,26,Peter,1966,26,Peter,1966,ZH
28,da Silva,1928,28,da Silva,1928,28,da Silva,1928,ZH
29,Hauser,1806,29,Hauser,1806,29,Hauser,1806,ZH
29,Krasniqi,1806,29,Krasniqi,1806,29,Krasniqi,1806,ZH
31,Bühler,1783,31,Bühler,1783,31,Bühler,1783,ZH
32,Berisha,1726,32,Berisha,1726,32,Berisha,1726,ZH
33,Gerber,1677,33,Gerber,1677,33,Gerber,1677,ZH
34,Koch,1671,34,Koch,1671,34,Koch,1671,ZH
35,Wyss,1668,35,Wyss,1668,35,Wyss,1668,ZH
