Rang,Nom,Total,Rank,Name,Anzahl,Posto,Nome,Totale,gdekt
1,Arnold,2166,1,Arnold,2166,1,Arnold,2166,UR
2,Gisler,2121,2,Gisler,2121,2,Gisler,2121,UR
3,Herger,850,3,Herger,850,3,Herger,850,UR
4,Bissig,744,4,Bissig,744,4,Bissig,744,UR
5,Walker,722,5,Walker,722,5,Walker,722,UR
6,Baumann,616,6,Baumann,616,6,Baumann,616,UR
7,Zgraggen,583,7,Zgraggen,583,7,Zgraggen,583,UR
8,Schuler,582,8,Schuler,582,8,Schuler,582,UR
9,Kempf,490,9,Kempf,490,9,Kempf,490,UR
10,Tresch,473,10,Tresch,473,10,Tresch,473,UR
11,Zurfluh,470,11,Zurfluh,470,11,Zurfluh,470,UR
12,Müller,386,12,Müller,386,12,Müller,386,UR
13,Aschwanden,357,13,Aschwanden,357,13,Aschwanden,357,UR
14,Epp,350,14,Epp,350,14,Epp,350,UR
15,Stadler,309,15,Stadler,309,15,Stadler,309,UR
16,Jauch,302,16,Jauch,302,16,Jauch,302,UR
17,Imhof,298,17,Imhof,298,17,Imhof,298,UR
18,Planzer,271,18,Planzer,271,18,Planzer,271,UR
19,Ziegler,265,19,Ziegler,265,19,Ziegler,265,UR
20,Furrer,264,20,Furrer,264,20,Furrer,264,UR
21,Imholz,240,21,Imholz,240,21,Imholz,240,UR
22,Gamma,228,22,Gamma,228,22,Gamma,228,UR
23,Wyrsch,223,23,Wyrsch,223,23,Wyrsch,223,UR
24,Gnos,213,24,Gnos,213,24,Gnos,213,UR
25,Infanger,205,25,Infanger,205,25,Infanger,205,UR
26,Wipfli,183,26,Wipfli,183,26,Wipfli,183,UR
27,Briker,171,27,Briker,171,27,Briker,171,UR
28,Scheiber,165,28,Scheiber,165,28,Scheiber,165,UR
29,Brand,152,29,Brand,152,29,Brand,152,UR
30,Indergand,144,30,Indergand,144,30,Indergand,144,UR
31,Muheim,141,31,Muheim,141,31,Muheim,141,UR
