Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
da Silva,10365,da Silva,10365,da Silva,10365,2,Suisse romande
Ferreira,7368,Ferreira,7368,Ferreira,7368,2,Suisse romande
Pereira,6755,Pereira,6755,Pereira,6755,2,Suisse romande
dos Santos,6073,dos Santos,6073,dos Santos,6073,2,Suisse romande
Rodrigues,5370,Rodrigues,5370,Rodrigues,5370,2,Suisse romande
Favre,5129,Favre,5129,Favre,5129,2,Suisse romande
Gomes,4548,Gomes,4548,Gomes,4548,2,Suisse romande
Fernandes,4025,Fernandes,4025,Fernandes,4025,2,Suisse romande
Lopes,3972,Lopes,3972,Lopes,3972,2,Suisse romande
Martin,3896,Martin,3896,Martin,3896,2,Suisse romande
Martins,3840,Martins,3840,Martins,3840,2,Suisse romande
Oliveira,3557,Oliveira,3557,Oliveira,3557,2,Suisse romande
Müller,3431,Müller,3431,Müller,3431,2,Suisse romande
Alves,3402,Alves,3402,Alves,3402,2,Suisse romande
Silva,3316,Silva,3316,Silva,3316,2,Suisse romande
Marques,3249,Marques,3249,Marques,3249,2,Suisse romande
Pinto,3234,Pinto,3234,Pinto,3234,2,Suisse romande
Gonçalves,3203,Gonçalves,3203,Gonçalves,3203,2,Suisse romande
Ribeiro,3162,Ribeiro,3162,Ribeiro,3162,2,Suisse romande
da Costa,3107,da Costa,3107,da Costa,3107,2,Suisse romande
Garcia,3062,Garcia,3062,Garcia,3062,2,Suisse romande
Teixeira,2983,Teixeira,2983,Teixeira,2983,2,Suisse romande
Santos,2962,Santos,2962,Santos,2962,2,Suisse romande
Rochat,2921,Rochat,2921,Rochat,2921,2,Suisse romande
Rey,2880,Rey,2880,Rey,2880,2,Suisse romande
Pittet,2697,Pittet,2697,Pittet,2697,2,Suisse romande
Meyer,2681,Meyer,2681,Meyer,2681,2,Suisse romande
de Oliveira,2472,de Oliveira,2472,de Oliveira,2472,2,Suisse romande
Dias,2454,Dias,2454,Dias,2454,2,Suisse romande
Mendes,2393,Mendes,2393,Mendes,2393,2,Suisse romande
Rodriguez,2385,Rodriguez,2385,Rodriguez,2385,2,Suisse romande
Blanc,2267,Blanc,2267,Blanc,2267,2,Suisse romande
Rossier,2266,Rossier,2266,Rossier,2266,2,Suisse romande
Costa,2218,Costa,2218,Costa,2218,2,Suisse romande
Moreira,2216,Moreira,2216,Moreira,2216,2,Suisse romande
Correia,2163,Correia,2163,Correia,2163,2,Suisse romande
Gerber,2146,Gerber,2146,Gerber,2146,2,Suisse romande
Fournier,2128,Fournier,2128,Fournier,2128,2,Suisse romande
