Nom,Total,Name,Anzahl,Cognome,Totale,sprachregion,label_fr
Imhof,4469,Imhof,4469,Imhof,4469,1,Suisse alémanique
Schärer,4433,Schärer,4433,Schärer,4433,1,Suisse alémanique
Vogt,4432,Vogt,4432,Vogt,4432,1,Suisse alémanique
Schwarz,4408,Schwarz,4408,Schwarz,4408,1,Suisse alémanique
Pereira,4397,Pereira,4397,Pereira,4397,1,Suisse alémanique
Ferreira,4309,Ferreira,4309,Ferreira,4309,1,Suisse alémanique
Ackermann,4271,Ackermann,4271,Ackermann,4271,1,Suisse alémanique
Jost,4270,Jost,4270,Jost,4270,1,Suisse alémanique
Scheidegger,4266,Scheidegger,4266,Scheidegger,4266,1,Suisse alémanique
Kuhn,4196,Kuhn,4196,Kuhn,4196,1,Suisse alémanique
